X1	id	verified	verified_type	username	name	description	followers_count	following_count	tweet_count	listed_count	seed	withheld
213	20975060	TRUE	none	johnrobertsFox	John Roberts	"@FoxNews Co-Anchor ""America Reports"". Former WH Correspondent (Trump, Bush, Clinton) Husband to the amazing @KyraPhillips 👩‍❤️‍💋‍👨ABC News anchor. 🤟🏻"	282461	509	8565	2205	1367531	NA
219	46681100	TRUE	none	marthamaccallum	Martha MacCallum	Anchor & Exec Editor The Story 3pm ET |@FoxNews Politics Co-Anchor | Podcast, Untold Story| Author NYT Bestseller “Unknown Valor” ⬇️ Insta: @marthamaccallum	787076	1086	8628	2835	1367531	NA
224	27311044	TRUE	none	DanaPerino	Dana Perino	Fox News, Co-anchor of America’s Newsroom, Co-host of The Five, Fmr Press Sec to George W. Bush. Speaking opps: The Harry Walker Agency	2335069	9654	43467	7877	1367531	NA
235	58120509	TRUE	none	dagenmcdowell	Dagen McDowell	Fox Business▪️Fox News▪️Rescue a dog!	373022	704	20714	1038	1367531	NA
244	56413858	TRUE	business	FoxBusiness	FOX Business	The official Twitter page of FOX Business. Invested in You.	868964	389	224609	8196	1367531	NA
258	41634520	TRUE	blue	seanhannity	Sean Hannity	TV Host Fox News Channel 9 PM EST. Nationally Syndicated Radio Host 3-6 PM EST. https://t.co/0WmPPuxbkF Retweets, Follows NOT endorsements! Due to hackings, no DM’s!	6297194	13	23132	20553	1367531	NA
260	18646108	TRUE	none	BretBaier	Bret Baier	Chief Political Anchor @FoxNews. Anchor & Executive Editor of @SpecialReport NYT bestselling author-“To Rescue The Republic” which hit #1 is available for order	1489750	8342	101702	7893	1367531	NA
7	130956302	FALSE	blue	alexstein99	Alex Stein #99	Cat Maximalist 🐈 & Host of Prime Time with Alex Stein - BlazeTV @blazetv	409559	3796	17704	765	10774652	NA
101	321954654	TRUE	blue	kylenabecker	Kyle Becker	Becker News CEO. Fmr. Assoc. Producer/Writer @FoxNews. As seen on @Newsmax, @OANN, @BlazeTV, @TimCast, @RubinReport. Subscribe to my Substack below!	298214	5157	77322	1803	10774652	NA
210	531524384	TRUE	none	JaseDuckman	Jase Robertson	"God, Family, Ducks ... in that order.

Check out the new episode of @BlazeTV's Unashamed with Phil & Jase Robertson podcast! ⬇️"	1835350	154	2775	1933	10774652	NA
351	46705002	TRUE	none	WatchChad	Chad Prather	Blaze TV host, The Chad Prather Show. Humorist. Musician. Entrepreneur. Basically a Jenius!	370642	2629	19066	740	10774652	NA
581	375852740	TRUE	blue	SaraGonzalesTX	Sara Gonzales	Host of The News and Why It Matters on @BlazeTV | CEO of American Beauty | Executive Director of Defend Our Kids: TX | “Spicy Bitch”	280589	1964	53204	709	10774652	NA
611	393469195	TRUE	none	redsteeze	Stephen L. Miller	Versus Media Podcast on Patreon. Contributing Editor @TheSpectator. Commentary archive at @nro @FoxNews @nypost	417545	1733	158971	2863	19417492	NA
1238	130684893	TRUE	none	AndrewCMcCarthy	Andy McCarthy	Bestselling author. Contributing Editor at National Review & Fellow at NR Inst. Fox News Contributor. Former Chief Asst. U.S. Attorney	291975	1370	18722	2001	19417492	NA
